"&#32;","","space",
"&#33;","","exclamation_point",
"&#34;","&quot;","double_quotes",
"&#35;","","number_sign",
"&#36;","","dollar_sign",
"&#37;","","percent_sign",
"&#38;","&amp;","ampersand",
"&#39;","","single_quote",
"&#40;","","opening_parenthesis",
"&#41;","","closing_parenthesis",
"&#42;","","asterisk",
"&#43;","","plus_sign",
"&#44;","","comma",
"&#45;","","minus_sign_hyphen",
"&#46;","","period",
"&#47;","","slash",
"&#48;","","zero",
"&#49;","","one",
"&#50;","","two",
"&#51;","","three",
"&#52;","","four",
"&#53;","","five",
"&#54;","","six",
"&#55;","","seven",
"&#56;","","eight",
"&#57;","","nine",
"&#58;","","colon",
"&#59;","","semicolon",
"&#60;","&lt;","less_than_sign",
"&#61;","","equal_sign",
"&#62;","&gt;","greater_than_sign",
"&#63;","","question_mark",
"&#64;","","at_symbol",
"&#65;","","A",
"&#66;","","B",
"&#67;","","C",
"&#68;","","D",
"&#69;","","E",
"&#70;","","F",
"&#71;","","G",
"&#72;","","H",
"&#73;","","I",
"&#74;","","J",
"&#75;","","K",
"&#76;","","L",
"&#77;","","M",
"&#78;","","N",
"&#79;","","O",
"&#80;","","P",
"&#81;","","Q",
"&#82;","","R",
"&#83;","","S",
"&#84;","","T",
"&#85;","","U",
"&#86;","","V",
"&#87;","","W",
"&#88;","","X",
"&#89;","","Y",
"&#90;","","Z",
"&#91;","","opening_bracket",
"&#92;","","backslash",
"&#93;","","closing_bracket",
"&#94;","","caret_circumflex",
"&#95;","","underscore",
"&#96;","","grave_accent",
"&#97;","","a",
"&#98;","","b",
"&#99;","","c",
"&#100;","","d",
"&#101;","","e",
"&#102;","","f",
"&#103;","","g",
"&#104;","","h",
"&#105;","","i",
"&#106;","","j",
"&#107;","","k",
"&#108;","","l",
"&#109;","","m",
"&#110;","","n",
"&#111;","","o",
"&#112;","","p",
"&#113;","","q",
"&#114;","","r",
"&#115;","","s",
"&#116;","","t",
"&#117;","","u",
"&#118;","","v",
"&#119;","","w",
"&#120;","","x",
"&#121;","","y",
"&#122;","","z",
"&#123;","","opening_brace",
"&#124;","","vertical_bar",
"&#125;","","closing_brace",
"&#126;","","equivalency_sign_tilde",
"&#160;","&nbsp;","nonbreaking_space",
"&#161;","&iexcl;","inverted_exclamation_mark",
"&#162;","&cent;","cent_sign",
"&#163;","&pound;","pound_sign",
"&#164;","&curren;","currency_sign",
"&#165;","&yen;","yen_sign",
"&#166;","&brvbar;","broken_vertical_bar",
"&#167;","&sect;","section_sign",
"&#168;","&uml;","spacing_diaeresis_umlaut",
"&#169;","&copy;","copyright_sign",
"&#170;","&ordf;","feminine_ordinal_indicator",
"&#171;","&laquo;","left_double_angle_quotes",
"&#172;","&not;","not_sign",
"&#173;","&shy;","soft_hyphen",
"&#174;","&reg;","registered_trade_mark_sign",
"&#175;","&macr;","spacing_macron_overline",
"&#176;","&deg;","degree_sign",
"&#177;","&plusmn;","plusorminus_sign",
"&#178;","&sup2;","superscript_two_squared",
"&#179;","&sup3;","superscript_three_cubed",
"&#180;","&acute;","acute_accent_spacing_acute",
"&#181;","&micro;","micro_sign",
"&#182;","&para;","pilcrow_sign_paragraph_sign",
"&#183;","&middot;","middle_dot_Georgian_comma",
"&#184;","&cedil;","spacing_cedilla",
"&#185;","&sup1;","superscript_one",
"&#186;","&ordm;","masculine_ordinal_indicator",
"&#187;","&raquo;","right_double_angle_quotes",
"&#188;","&frac14;","fraction_one_quarter",
"&#189;","&frac12;","fraction_one_half",
"&#190;","&frac34;","fraction_three_quarters",
"&#191;","&iquest;","inverted_question_mark",
"&#192;","&Agrave;","latin_capital_letter_A_with_grave",
"&#193;","&Aacute;","latin_capital_letter_A_with_acute",
"&#194;","&Acirc;","latin_capital_letter_A_with_circumflex",
"&#195;","&Atilde;","latin_capital_letter_A_with_tilde",
"&#196;","&Auml;","latin_capital_letter_A_with_diaeresis",
"&#197;","&Aring;","latin_capital_letter_A_with_ring_above",
"&#198;","&AElig;","latin_capital_letter_AE",
"&#199;","&Ccedil;","latin_capital_letter_C_with_cedilla",
"&#200;","&Egrave;","latin_capital_letter_E_with_grave",
"&#201;","&Eacute;","latin_capital_letter_E_with_acute",
"&#202;","&Ecirc;","latin_capital_letter_E_with_circumflex",
"&#203;","&Euml;","latin_capital_letter_E_with_diaeresis",
"&#204;","&Igrave;","latin_capital_letter_I_with_grave",
"&#205;","&Iacute;","latin_capital_letter_I_with_acute",
"&#206;","&Icirc;","latin_capital_letter_I_with_circumflex",
"&#207;","&Iuml;","latin_capital_letter_I_with_diaeresis",
"&#208;","&ETH;","latin_capital_letter_ETH",
"&#209;","&Ntilde;","latin_capital_letter_N_with_tilde",
"&#210;","&Ograve;","latin_capital_letter_O_with_grave",
"&#211;","&Oacute;","latin_capital_letter_O_with_acute",
